[19-Dec-2022 17:48:14 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
[19-Dec-2022 17:48:22 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[19-Dec-2022 17:51:00 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[19-Dec-2022 17:58:54 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
[19-Dec-2022 17:59:00 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[19-Dec-2022 17:59:01 Asia/Kolkata] PHP Notice:  Undefined index: to in /var/www/html/erpm/View/calcRange.php on line 42
[19-Dec-2022 17:59:03 Asia/Kolkata] PHP Notice:  Object of class mysqli_result could not be converted to int in /var/www/html/erpm/View/calcRange.php on line 412
[19-Dec-2022 17:59:03 Asia/Kolkata] PHP Notice:  Undefined index: 2022-12-18 in /var/www/html/erpm/View/calcRange.php on line 583
[19-Dec-2022 17:59:03 Asia/Kolkata] PHP Notice:  Undefined index: 2022-12-18 in /var/www/html/erpm/View/calcRange.php on line 932
[19-Dec-2022 17:59:03 Asia/Kolkata] PHP Notice:  Undefined index: 2022-12-18 in /var/www/html/erpm/View/calcRange.php on line 1225
[19-Dec-2022 17:59:03 Asia/Kolkata] PHP Notice:  Array to string conversion in /var/www/html/erpm/View/calcRange.php on line 1559
[19-Dec-2022 17:59:18 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
