[15-Jan-2023 10:24:14 Asia/Kolkata] PHP Deprecated:  __autoload() is deprecated, use spl_autoload_register() instead in /var/www/html/erpm/AppData/lib/PHPMailer-master/PHPMailerAutoload.php on line 45
[15-Jan-2023 10:24:15 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[15-Jan-2023 10:24:15 Asia/Kolkata] PHP Notice:  Undefined index: to in /var/www/html/erpm/View/calcRange.php on line 42
[15-Jan-2023 10:24:16 Asia/Kolkata] PHP Notice:  Object of class mysqli_result could not be converted to int in /var/www/html/erpm/View/calcRange.php on line 412
[15-Jan-2023 10:24:16 Asia/Kolkata] PHP Notice:  Undefined index: 2023-01-14 in /var/www/html/erpm/View/calcRange.php on line 583
[15-Jan-2023 10:24:16 Asia/Kolkata] PHP Notice:  Undefined index: 2023-01-14 in /var/www/html/erpm/View/calcRange.php on line 932
[15-Jan-2023 10:24:16 Asia/Kolkata] PHP Notice:  Undefined index: 2023-01-14 in /var/www/html/erpm/View/calcRange.php on line 1225
[15-Jan-2023 10:24:16 Asia/Kolkata] PHP Notice:  Array to string conversion in /var/www/html/erpm/View/calcRange.php on line 1559
[15-Jan-2023 10:24:17 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[15-Jan-2023 10:24:37 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[15-Jan-2023 10:25:12 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
[15-Jan-2023 10:25:25 Asia/Kolkata] PHP Notice:  Undefined variable: locationdir in /var/www/html/erpm/View/EmployeInfo.php on line 160
[15-Jan-2023 10:25:26 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type int in /var/www/html/erpm/View/EmployeInfo.php on line 879
[15-Jan-2023 10:25:26 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type int in /var/www/html/erpm/View/EmployeInfo.php on line 879
[15-Jan-2023 10:25:26 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type int in /var/www/html/erpm/View/EmployeInfo.php on line 879
[15-Jan-2023 10:25:41 Asia/Kolkata] PHP Notice:  Undefined variable: locationdir in /var/www/html/erpm/View/EmployeInfo.php on line 160
[15-Jan-2023 10:25:42 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type int in /var/www/html/erpm/View/EmployeInfo.php on line 879
[15-Jan-2023 10:25:42 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type int in /var/www/html/erpm/View/EmployeInfo.php on line 879
[15-Jan-2023 10:25:42 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type int in /var/www/html/erpm/View/EmployeInfo.php on line 879
[15-Jan-2023 10:26:11 Asia/Kolkata] PHP Notice:  Undefined variable: locationdir in /var/www/html/erpm/View/EmployeInfo.php on line 160
[15-Jan-2023 10:26:12 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type int in /var/www/html/erpm/View/EmployeInfo.php on line 879
[15-Jan-2023 10:26:12 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type int in /var/www/html/erpm/View/EmployeInfo.php on line 879
[15-Jan-2023 10:26:12 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type int in /var/www/html/erpm/View/EmployeInfo.php on line 879
[15-Jan-2023 10:34:08 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[15-Jan-2023 10:34:09 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[15-Jan-2023 10:34:40 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[15-Jan-2023 10:35:13 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
[15-Jan-2023 10:47:52 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[15-Jan-2023 10:48:03 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[15-Jan-2023 10:48:11 Asia/Kolkata] PHP Notice:  Undefined index: to in /var/www/html/erpm/View/calcRange.php on line 42
[15-Jan-2023 10:48:13 Asia/Kolkata] PHP Notice:  Object of class mysqli_result could not be converted to int in /var/www/html/erpm/View/calcRange.php on line 412
[15-Jan-2023 10:48:13 Asia/Kolkata] PHP Notice:  Undefined index: 2023-01-14 in /var/www/html/erpm/View/calcRange.php on line 583
[15-Jan-2023 10:48:13 Asia/Kolkata] PHP Notice:  Undefined index: 2023-01-14 in /var/www/html/erpm/View/calcRange.php on line 932
[15-Jan-2023 10:48:13 Asia/Kolkata] PHP Notice:  Undefined index: 2023-01-14 in /var/www/html/erpm/View/calcRange.php on line 1225
[15-Jan-2023 10:48:13 Asia/Kolkata] PHP Notice:  Array to string conversion in /var/www/html/erpm/View/calcRange.php on line 1559
[15-Jan-2023 10:48:13 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
