[30-Dec-2022 09:52:02 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
[30-Dec-2022 09:52:08 Asia/Kolkata] PHP Deprecated:  __autoload() is deprecated, use spl_autoload_register() instead in /var/www/html/erpm/AppData/lib/PHPMailer-master/PHPMailerAutoload.php on line 45
[30-Dec-2022 09:52:08 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[30-Dec-2022 09:52:09 Asia/Kolkata] PHP Notice:  Undefined index: to in /var/www/html/erpm/View/calcRange.php on line 42
[30-Dec-2022 09:52:10 Asia/Kolkata] PHP Notice:  Object of class mysqli_result could not be converted to int in /var/www/html/erpm/View/calcRange.php on line 412
[30-Dec-2022 09:52:10 Asia/Kolkata] PHP Notice:  Undefined index: 2022-12-29 in /var/www/html/erpm/View/calcRange.php on line 583
[30-Dec-2022 09:52:10 Asia/Kolkata] PHP Notice:  Undefined index: 2022-12-29 in /var/www/html/erpm/View/calcRange.php on line 932
[30-Dec-2022 09:52:10 Asia/Kolkata] PHP Notice:  Undefined index: 2022-12-29 in /var/www/html/erpm/View/calcRange.php on line 1225
[30-Dec-2022 09:52:10 Asia/Kolkata] PHP Notice:  Array to string conversion in /var/www/html/erpm/View/calcRange.php on line 1559
[30-Dec-2022 09:52:10 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[30-Dec-2022 09:52:18 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/View/site_master.php on line 318
[30-Dec-2022 09:52:18 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/site_master.php on line 318
[30-Dec-2022 09:52:18 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/View/site_master.php on line 318
[30-Dec-2022 09:52:18 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/site_master.php on line 318
[30-Dec-2022 09:52:18 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/View/site_master.php on line 318
[30-Dec-2022 09:52:18 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/site_master.php on line 318
[30-Dec-2022 09:52:42 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
[30-Dec-2022 09:54:24 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[30-Dec-2022 09:54:24 Asia/Kolkata] PHP Notice:  Undefined index: to in /var/www/html/erpm/View/calcRange.php on line 42
[30-Dec-2022 09:54:25 Asia/Kolkata] PHP Notice:  Object of class mysqli_result could not be converted to int in /var/www/html/erpm/View/calcRange.php on line 412
[30-Dec-2022 09:54:25 Asia/Kolkata] PHP Notice:  Undefined index: 2022-12-29 in /var/www/html/erpm/View/calcRange.php on line 583
[30-Dec-2022 09:54:25 Asia/Kolkata] PHP Notice:  Undefined index: 2022-12-29 in /var/www/html/erpm/View/calcRange.php on line 932
[30-Dec-2022 09:54:25 Asia/Kolkata] PHP Notice:  Undefined index: 2022-12-29 in /var/www/html/erpm/View/calcRange.php on line 1225
[30-Dec-2022 09:54:25 Asia/Kolkata] PHP Notice:  Array to string conversion in /var/www/html/erpm/View/calcRange.php on line 1559
[30-Dec-2022 09:54:26 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[30-Dec-2022 09:59:56 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
[30-Dec-2022 09:59:58 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[30-Dec-2022 09:59:58 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
