[04-Jan-2023 10:02:47 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
[04-Jan-2023 10:03:14 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
[04-Jan-2023 10:03:52 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[04-Jan-2023 10:03:53 Asia/Kolkata] PHP Notice:  Undefined index: to in /var/www/html/erpm/View/calcRange.php on line 42
[04-Jan-2023 10:03:55 Asia/Kolkata] PHP Notice:  Object of class mysqli_result could not be converted to int in /var/www/html/erpm/View/calcRange.php on line 412
[04-Jan-2023 10:03:55 Asia/Kolkata] PHP Notice:  Undefined index: 2023-01-03 in /var/www/html/erpm/View/calcRange.php on line 583
[04-Jan-2023 10:03:55 Asia/Kolkata] PHP Notice:  Undefined index: 2023-01-03 in /var/www/html/erpm/View/calcRange.php on line 932
[04-Jan-2023 10:03:55 Asia/Kolkata] PHP Notice:  Undefined index: 2023-01-03 in /var/www/html/erpm/View/calcRange.php on line 1225
[04-Jan-2023 10:03:55 Asia/Kolkata] PHP Notice:  Array to string conversion in /var/www/html/erpm/View/calcRange.php on line 1559
[04-Jan-2023 10:03:55 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[04-Jan-2023 10:16:00 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[04-Jan-2023 10:16:00 Asia/Kolkata] PHP Notice:  Undefined index: to in /var/www/html/erpm/View/calcRange.php on line 42
[04-Jan-2023 10:16:01 Asia/Kolkata] PHP Notice:  Object of class mysqli_result could not be converted to int in /var/www/html/erpm/View/calcRange.php on line 412
[04-Jan-2023 10:16:01 Asia/Kolkata] PHP Notice:  Undefined index: 2023-01-03 in /var/www/html/erpm/View/calcRange.php on line 583
[04-Jan-2023 10:16:01 Asia/Kolkata] PHP Notice:  Undefined index: 2023-01-03 in /var/www/html/erpm/View/calcRange.php on line 932
[04-Jan-2023 10:16:01 Asia/Kolkata] PHP Notice:  Undefined index: 2023-01-03 in /var/www/html/erpm/View/calcRange.php on line 1225
[04-Jan-2023 10:16:01 Asia/Kolkata] PHP Notice:  Array to string conversion in /var/www/html/erpm/View/calcRange.php on line 1559
[04-Jan-2023 10:16:01 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[04-Jan-2023 10:17:59 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
