[05-Jan-2023 17:18:20 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
[05-Jan-2023 17:18:22 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[05-Jan-2023 17:18:24 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[05-Jan-2023 17:24:28 Asia/Kolkata] PHP Notice:  Undefined variable: clean_from_date in /var/www/html/erpm/View/site_master_report.php on line 22
[05-Jan-2023 17:24:28 Asia/Kolkata] PHP Notice:  Undefined index: location in /var/www/html/erpm/View/site_master_report.php on line 154
[05-Jan-2023 17:24:28 Asia/Kolkata] PHP Notice:  Undefined index: site in /var/www/html/erpm/View/site_master_report.php on line 155
[05-Jan-2023 17:24:28 Asia/Kolkata] PHP Notice:  Undefined index: capacity in /var/www/html/erpm/View/site_master_report.php on line 156
[05-Jan-2023 17:24:28 Asia/Kolkata] PHP Notice:  Undefined index: ClientName in /var/www/html/erpm/View/site_master_report.php on line 157
[05-Jan-2023 17:24:28 Asia/Kolkata] PHP Notice:  Undefined index: process in /var/www/html/erpm/View/site_master_report.php on line 158
[05-Jan-2023 17:24:28 Asia/Kolkata] PHP Notice:  Undefined index: seat in /var/www/html/erpm/View/site_master_report.php on line 159
[05-Jan-2023 17:24:28 Asia/Kolkata] PHP Notice:  Undefined index: item in /var/www/html/erpm/View/site_master_report.php on line 161
[05-Jan-2023 17:24:28 Asia/Kolkata] PHP Notice:  Undefined index: price in /var/www/html/erpm/View/site_master_report.php on line 162
[05-Jan-2023 17:30:59 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
[05-Jan-2023 17:31:17 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[05-Jan-2023 17:32:37 Asia/Kolkata] PHP Notice:  Undefined index: txt_dateMonth in /var/www/html/erpm/View/team_atnd.php on line 32
[05-Jan-2023 17:32:40 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/team_atnd.php on line 247
[05-Jan-2023 17:32:40 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/team_atnd.php on line 319
[05-Jan-2023 17:32:46 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
[05-Jan-2023 17:32:48 Asia/Kolkata] PHP Notice:  Undefined index: emp_status in /var/www/html/erpm/View/rpt_Roster_for_rt.php on line 176
[05-Jan-2023 17:32:48 Asia/Kolkata] PHP Notice:  Undefined index: emp_status in /var/www/html/erpm/View/rpt_Roster_for_rt.php on line 180
[05-Jan-2023 17:32:49 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[05-Jan-2023 17:32:49 Asia/Kolkata] PHP Warning:  Use of undefined constant EMS_CenterName - assumed 'EMS_CenterName' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 470
[05-Jan-2023 17:32:49 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_HOST - assumed 'EMAIL_HOST' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 473
[05-Jan-2023 17:32:49 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_AUTH - assumed 'EMAIL_AUTH' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 474
[05-Jan-2023 17:32:49 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_USER - assumed 'EMAIL_USER' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 475
[05-Jan-2023 17:32:49 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_PASS - assumed 'EMAIL_PASS' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 476
