[13-Jan-2023 12:03:08 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
[13-Jan-2023 12:05:09 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
[13-Jan-2023 12:05:20 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[13-Jan-2023 12:05:21 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[13-Jan-2023 12:05:45 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[13-Jan-2023 12:05:57 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[13-Jan-2023 12:06:16 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[13-Jan-2023 12:06:20 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[13-Jan-2023 12:06:30 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[13-Jan-2023 12:11:38 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[13-Jan-2023 12:12:59 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[13-Jan-2023 12:13:21 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[13-Jan-2023 12:13:28 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[13-Jan-2023 12:13:28 Asia/Kolkata] PHP Warning:  Use of undefined constant EMS_CenterName - assumed 'EMS_CenterName' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 470
[13-Jan-2023 12:13:28 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_HOST - assumed 'EMAIL_HOST' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 473
[13-Jan-2023 12:13:28 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_AUTH - assumed 'EMAIL_AUTH' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 474
[13-Jan-2023 12:13:28 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_USER - assumed 'EMAIL_USER' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 475
[13-Jan-2023 12:13:28 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_PASS - assumed 'EMAIL_PASS' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 476
[13-Jan-2023 12:13:28 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_SMTPSecure - assumed 'EMAIL_SMTPSecure' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 477
[13-Jan-2023 12:13:28 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_PORT - assumed 'EMAIL_PORT' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 478
[13-Jan-2023 12:13:28 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_FROM - assumed 'EMAIL_FROM' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 479
[13-Jan-2023 12:13:28 Asia/Kolkata] PHP Warning:  Use of undefined constant EMS_CenterName - assumed 'EMS_CenterName' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 482
[13-Jan-2023 12:14:10 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
[13-Jan-2023 12:14:13 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[13-Jan-2023 12:14:15 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[13-Jan-2023 12:14:16 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[13-Jan-2023 12:14:34 Asia/Kolkata] PHP Notice:  Undefined index: txt_dateFrom in /var/www/html/erpm/View/bgv_docsend_new.php on line 32
[13-Jan-2023 12:14:34 Asia/Kolkata] PHP Notice:  Undefined variable: htmlresp in /var/www/html/erpm/View/bgv_docsend_new.php on line 665
[13-Jan-2023 12:14:46 Asia/Kolkata] PHP Notice:  Undefined variable: htmlresp in /var/www/html/erpm/View/bgv_docsend_new.php on line 665
[13-Jan-2023 12:17:02 Asia/Kolkata] PHP Notice:  Undefined variable: htmlresp in /var/www/html/erpm/View/bgv_docsend_new.php on line 665
[13-Jan-2023 12:17:08 Asia/Kolkata] PHP Warning:  mkdir(): File exists in /var/www/html/erpm/View/bgv_docsend_new.php on line 368
[13-Jan-2023 12:17:08 Asia/Kolkata] PHP Warning:  file_get_contents(https://ems.cogentlab.com/erpm/Meerut/Education/INT092022355480_10th.jpg): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found
 in /var/www/html/erpm/View/bgv_docsend_new.php on line 372
[13-Jan-2023 12:17:08 Asia/Kolkata] PHP Warning:  file_get_contents(https://ems.cogentlab.com/erpm/Meerut/Education/INT092022355480_12th.jpg): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found
 in /var/www/html/erpm/View/bgv_docsend_new.php on line 372
[13-Jan-2023 12:17:08 Asia/Kolkata] PHP Warning:  file_get_contents(https://ems.cogentlab.com/erpm/Meerut/Education/INT092022355480_graduation.jpg): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found
 in /var/www/html/erpm/View/bgv_docsend_new.php on line 372
[13-Jan-2023 12:17:08 Asia/Kolkata] PHP Notice:  Undefined variable: htmlresp in /var/www/html/erpm/View/bgv_docsend_new.php on line 665
[13-Jan-2023 12:17:14 Asia/Kolkata] PHP Notice:  Trying to get property 'status' of non-object in /var/www/html/erpm/View/bgv_docsend_new.php on line 636
[13-Jan-2023 12:18:01 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[13-Jan-2023 12:18:01 Asia/Kolkata] PHP Notice:  Trying to get property 'status' of non-object in /var/www/html/erpm/View/bgv_docsend_new.php on line 636
[13-Jan-2023 12:18:18 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[13-Jan-2023 12:21:43 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[13-Jan-2023 12:21:44 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[13-Jan-2023 12:23:54 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[13-Jan-2023 12:23:54 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[13-Jan-2023 12:25:47 Asia/Kolkata] PHP Notice:  Undefined index: travel_date in /var/www/html/erpm/View/expenses.php on line 60
[13-Jan-2023 12:25:47 Asia/Kolkata] PHP Notice:  Undefined index: placeFrom in /var/www/html/erpm/View/expenses.php on line 61
[13-Jan-2023 12:25:47 Asia/Kolkata] PHP Notice:  Undefined index: placeTO in /var/www/html/erpm/View/expenses.php on line 62
[13-Jan-2023 12:25:47 Asia/Kolkata] PHP Notice:  Undefined index: modeOftravel in /var/www/html/erpm/View/expenses.php on line 63
[13-Jan-2023 12:25:47 Asia/Kolkata] PHP Notice:  Undefined index: receipt_no in /var/www/html/erpm/View/expenses.php on line 66
[13-Jan-2023 12:25:47 Asia/Kolkata] PHP Notice:  Undefined index: remarks in /var/www/html/erpm/View/expenses.php on line 68
[13-Jan-2023 12:25:47 Asia/Kolkata] PHP Notice:  Undefined index: returnDate in /var/www/html/erpm/View/expenses.php on line 74
[13-Jan-2023 12:25:47 Asia/Kolkata] PHP Notice:  Undefined index: car_km in /var/www/html/erpm/View/expenses.php on line 75
[13-Jan-2023 12:25:49 Asia/Kolkata] PHP Notice:  Undefined index: travel_date in /var/www/html/erpm/View/expenses.php on line 60
[13-Jan-2023 12:25:49 Asia/Kolkata] PHP Notice:  Undefined index: placeFrom in /var/www/html/erpm/View/expenses.php on line 61
[13-Jan-2023 12:25:49 Asia/Kolkata] PHP Notice:  Undefined index: placeTO in /var/www/html/erpm/View/expenses.php on line 62
[13-Jan-2023 12:25:49 Asia/Kolkata] PHP Notice:  Undefined index: modeOftravel in /var/www/html/erpm/View/expenses.php on line 63
[13-Jan-2023 12:25:49 Asia/Kolkata] PHP Notice:  Undefined index: receipt_no in /var/www/html/erpm/View/expenses.php on line 66
[13-Jan-2023 12:25:49 Asia/Kolkata] PHP Notice:  Undefined index: remarks in /var/www/html/erpm/View/expenses.php on line 68
[13-Jan-2023 12:25:49 Asia/Kolkata] PHP Notice:  Undefined index: returnDate in /var/www/html/erpm/View/expenses.php on line 74
[13-Jan-2023 12:25:49 Asia/Kolkata] PHP Notice:  Undefined index: car_km in /var/www/html/erpm/View/expenses.php on line 75
[13-Jan-2023 12:27:34 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[13-Jan-2023 12:27:36 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[13-Jan-2023 12:28:00 Asia/Kolkata] PHP Deprecated:  Array and string offset access syntax with curly braces is deprecated in /var/www/html/erpm/TCPDF/tcpdf.php on line 16899
[13-Jan-2023 12:28:00 Asia/Kolkata] PHP Deprecated:  Array and string offset access syntax with curly braces is deprecated in /var/www/html/erpm/TCPDF/tcpdf.php on line 16899
[13-Jan-2023 12:28:00 Asia/Kolkata] PHP Deprecated:  Array and string offset access syntax with curly braces is deprecated in /var/www/html/erpm/TCPDF/tcpdf.php on line 16902
[13-Jan-2023 12:28:00 Asia/Kolkata] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /var/www/html/erpm/TCPDF/tcpdf.php on line 17784
[13-Jan-2023 12:28:00 Asia/Kolkata] PHP Deprecated:  Array and string offset access syntax with curly braces is deprecated in /var/www/html/erpm/TCPDF/include/tcpdf_images.php on line 318
[13-Jan-2023 12:28:16 Asia/Kolkata] PHP Notice:  Undefined variable: gender in /var/www/html/erpm/View/salary_certificate.php on line 33
[13-Jan-2023 12:28:16 Asia/Kolkata] PHP Notice:  Undefined variable: gender1 in /var/www/html/erpm/View/salary_certificate.php on line 34
[13-Jan-2023 12:28:16 Asia/Kolkata] PHP Notice:  Undefined variable: function in /var/www/html/erpm/View/salary_certificate.php on line 35
[13-Jan-2023 12:28:16 Asia/Kolkata] PHP Notice:  Undefined variable: page1 in /var/www/html/erpm/View/salary_certificate.php on line 128
[13-Jan-2023 12:28:16 Asia/Kolkata] PHP Warning:  chr() expects parameter 1 to be int, string given in /var/www/html/erpm/TCPDF/include/tcpdf_fonts.php on line 1671
[13-Jan-2023 12:28:16 Asia/Kolkata] PHP Deprecated:  The each() function is deprecated. This message will be suppressed on further calls in /var/www/html/erpm/TCPDF/tcpdf.php on line 16548
[13-Jan-2023 12:29:19 Asia/Kolkata] PHP Warning:  move_uploaded_file(/var/www/html/erpm/View/../ExpenseFood/CE0821939593_2023-01-13_122919.png): failed to open stream: No such file or directory in /var/www/html/erpm/View/expenses.php on line 35
[13-Jan-2023 12:29:19 Asia/Kolkata] PHP Warning:  move_uploaded_file(): Unable to move '/tmp/phplgnUDg' to '/var/www/html/erpm/View/../ExpenseFood/CE0821939593_2023-01-13_122919.png' in /var/www/html/erpm/View/expenses.php on line 35
[13-Jan-2023 12:29:19 Asia/Kolkata] PHP Notice:  Undefined index: travel_date in /var/www/html/erpm/View/expenses.php on line 60
[13-Jan-2023 12:29:19 Asia/Kolkata] PHP Notice:  Undefined index: placeFrom in /var/www/html/erpm/View/expenses.php on line 61
[13-Jan-2023 12:29:19 Asia/Kolkata] PHP Notice:  Undefined index: placeTO in /var/www/html/erpm/View/expenses.php on line 62
[13-Jan-2023 12:29:19 Asia/Kolkata] PHP Notice:  Undefined index: modeOftravel in /var/www/html/erpm/View/expenses.php on line 63
[13-Jan-2023 12:29:19 Asia/Kolkata] PHP Notice:  Undefined index: returnDate in /var/www/html/erpm/View/expenses.php on line 74
[13-Jan-2023 12:29:19 Asia/Kolkata] PHP Notice:  Undefined index: car_km in /var/www/html/erpm/View/expenses.php on line 75
[13-Jan-2023 12:30:35 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[13-Jan-2023 12:30:37 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[13-Jan-2023 12:32:25 Asia/Kolkata] PHP Notice:  Undefined index: travel_date in /var/www/html/erpm/View/expenses.php on line 60
[13-Jan-2023 12:32:25 Asia/Kolkata] PHP Notice:  Undefined index: placeFrom in /var/www/html/erpm/View/expenses.php on line 61
[13-Jan-2023 12:32:25 Asia/Kolkata] PHP Notice:  Undefined index: placeTO in /var/www/html/erpm/View/expenses.php on line 62
[13-Jan-2023 12:32:25 Asia/Kolkata] PHP Notice:  Undefined index: modeOftravel in /var/www/html/erpm/View/expenses.php on line 63
[13-Jan-2023 12:32:25 Asia/Kolkata] PHP Notice:  Undefined index: returnDate in /var/www/html/erpm/View/expenses.php on line 74
[13-Jan-2023 12:32:25 Asia/Kolkata] PHP Notice:  Undefined index: car_km in /var/www/html/erpm/View/expenses.php on line 75
[13-Jan-2023 12:40:04 Asia/Kolkata] PHP Notice:  Undefined index: txt_srch_DateFrom in /var/www/html/erpm/View/addRequest.php on line 856
[13-Jan-2023 12:40:04 Asia/Kolkata] PHP Notice:  Undefined index: txt_srch_DateTo in /var/www/html/erpm/View/addRequest.php on line 858
[13-Jan-2023 12:40:04 Asia/Kolkata] PHP Notice:  Undefined variable: SiteHead in /var/www/html/erpm/View/addRequest.php on line 907
[13-Jan-2023 12:40:04 Asia/Kolkata] PHP Notice:  Undefined index: txt_Request in /var/www/html/erpm/View/addRequest.php on line 911
[13-Jan-2023 12:40:04 Asia/Kolkata] PHP Notice:  Undefined variable: SiteHeadName in /var/www/html/erpm/View/addRequest.php on line 2209
