[12-Jan-2023 11:12:13 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
[12-Jan-2023 11:12:39 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[12-Jan-2023 11:12:40 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[12-Jan-2023 11:23:11 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[12-Jan-2023 11:23:11 Asia/Kolkata] PHP Warning:  Use of undefined constant EMS_CenterName - assumed 'EMS_CenterName' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 470
[12-Jan-2023 11:23:11 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_HOST - assumed 'EMAIL_HOST' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 473
[12-Jan-2023 11:23:11 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_AUTH - assumed 'EMAIL_AUTH' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 474
[12-Jan-2023 11:23:11 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_USER - assumed 'EMAIL_USER' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 475
[12-Jan-2023 11:23:11 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_PASS - assumed 'EMAIL_PASS' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 476
[12-Jan-2023 11:23:11 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_SMTPSecure - assumed 'EMAIL_SMTPSecure' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 477
[12-Jan-2023 11:23:11 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_PORT - assumed 'EMAIL_PORT' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 478
[12-Jan-2023 11:23:11 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_FROM - assumed 'EMAIL_FROM' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 479
[12-Jan-2023 11:23:11 Asia/Kolkata] PHP Warning:  Use of undefined constant EMS_CenterName - assumed 'EMS_CenterName' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 482
[12-Jan-2023 11:26:42 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[12-Jan-2023 11:29:48 Asia/Kolkata] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/html/erpm/View/ref_registration.php on line 306
[12-Jan-2023 11:29:48 Asia/Kolkata] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/html/erpm/View/ref_registration.php on line 328
[12-Jan-2023 11:30:48 Asia/Kolkata] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/html/erpm/View/ref_registration.php on line 306
[12-Jan-2023 11:30:48 Asia/Kolkata] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/html/erpm/View/ref_registration.php on line 328
[12-Jan-2023 11:31:16 Asia/Kolkata] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/html/erpm/View/ref_registration.php on line 306
[12-Jan-2023 11:31:16 Asia/Kolkata] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/html/erpm/View/ref_registration.php on line 328
[12-Jan-2023 11:31:16 Asia/Kolkata] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/html/erpm/View/ref_registration.php on line 306
[12-Jan-2023 11:31:16 Asia/Kolkata] PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /var/www/html/erpm/View/ref_registration.php on line 328
[12-Jan-2023 11:33:32 Asia/Kolkata] PHP Notice:  Undefined index: lvl in /var/www/html/erpm/Controller/getprocess.php on line 8
[12-Jan-2023 11:33:51 Asia/Kolkata] PHP Notice:  Undefined index: hiddentype in /var/www/html/erpm/View/manual_client_movement.php on line 18
[12-Jan-2023 11:33:51 Asia/Kolkata] PHP Notice:  Undefined index: txt_location in /var/www/html/erpm/View/manual_client_movement.php on line 373
[12-Jan-2023 11:33:51 Asia/Kolkata] PHP Notice:  Undefined index: txt_subProcess in /var/www/html/erpm/View/manual_client_movement.php on line 375
[12-Jan-2023 11:33:55 Asia/Kolkata] PHP Notice:  Undefined index: mode in /var/www/html/erpm/Controller/getalignmentforbatchmaster.php on line 10
[12-Jan-2023 11:33:55 Asia/Kolkata] PHP Notice:  Undefined index: client in /var/www/html/erpm/Controller/getalignmentforbatchmaster.php on line 13
[12-Jan-2023 11:33:55 Asia/Kolkata] PHP Notice:  Undefined index: process in /var/www/html/erpm/Controller/getalignmentforbatchmaster.php on line 14
[12-Jan-2023 11:33:55 Asia/Kolkata] PHP Notice:  Undefined index: subprocess in /var/www/html/erpm/Controller/getalignmentforbatchmaster.php on line 15
[12-Jan-2023 11:33:58 Asia/Kolkata] PHP Notice:  Undefined index: mode in /var/www/html/erpm/Controller/getalignmentforbatchmaster.php on line 10
[12-Jan-2023 11:33:58 Asia/Kolkata] PHP Notice:  Undefined index: process in /var/www/html/erpm/Controller/getalignmentforbatchmaster.php on line 14
[12-Jan-2023 11:33:58 Asia/Kolkata] PHP Notice:  Undefined index: subprocess in /var/www/html/erpm/Controller/getalignmentforbatchmaster.php on line 15
[12-Jan-2023 11:34:07 Asia/Kolkata] PHP Notice:  Undefined index: txt_type in /var/www/html/erpm/View/manual_client_movement.php on line 248
[12-Jan-2023 11:34:46 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
[12-Jan-2023 11:34:54 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[12-Jan-2023 11:34:55 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[12-Jan-2023 11:36:34 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
