[29-Dec-2022 09:39:23 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_FROM - assumed 'EMAIL_FROM' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 479
[29-Dec-2022 09:39:23 Asia/Kolkata] PHP Warning:  Use of undefined constant EMS_CenterName - assumed 'EMS_CenterName' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 482
[29-Dec-2022 09:39:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[29-Dec-2022 09:40:55 Asia/Kolkata] PHP Warning:  Packets out of order. Expected 1 received 73. Packet size=7 in /var/www/html/erpm/AppData/Class/MysqliDb.php on line 1511
[29-Dec-2022 09:40:55 Asia/Kolkata] PHP Fatal error:  Uncaught Exception: Problem preparing query (select distinct Process,cm_id from new_client_master;) MySQL server has gone away in /var/www/html/erpm/AppData/Class/MysqliDb.php:1514
Stack trace:
#0 /var/www/html/erpm/AppData/Class/MysqliDb.php(1127): MysqliDb->_prepareQuery()
#1 /var/www/html/erpm/AppData/Class/MysqliDb.php(495): MysqliDb->_buildQuery()
#2 /var/www/html/erpm/View/AppraisalReport.php(281): MysqliDb->query()
#3 {main}
  thrown in /var/www/html/erpm/AppData/Class/MysqliDb.php on line 1514
[29-Dec-2022 09:41:05 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
[29-Dec-2022 09:41:10 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[29-Dec-2022 09:41:10 Asia/Kolkata] PHP Notice:  Undefined index: to in /var/www/html/erpm/View/calcRange.php on line 42
[29-Dec-2022 09:41:11 Asia/Kolkata] PHP Notice:  Object of class mysqli_result could not be converted to int in /var/www/html/erpm/View/calcRange.php on line 412
[29-Dec-2022 09:41:11 Asia/Kolkata] PHP Notice:  Undefined index: 2022-12-28 in /var/www/html/erpm/View/calcRange.php on line 583
[29-Dec-2022 09:41:11 Asia/Kolkata] PHP Notice:  Undefined index: 2022-12-28 in /var/www/html/erpm/View/calcRange.php on line 932
[29-Dec-2022 09:41:11 Asia/Kolkata] PHP Notice:  Undefined index: 2022-12-28 in /var/www/html/erpm/View/calcRange.php on line 1225
[29-Dec-2022 09:41:11 Asia/Kolkata] PHP Notice:  Array to string conversion in /var/www/html/erpm/View/calcRange.php on line 1559
[29-Dec-2022 09:41:12 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[29-Dec-2022 09:41:17 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[29-Dec-2022 09:41:18 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[29-Dec-2022 09:41:47 Asia/Kolkata] PHP Warning:  Packets out of order. Expected 1 received 73. Packet size=7 in /var/www/html/erpm/AppData/Class/MysqliDb.php on line 1511
[29-Dec-2022 09:41:47 Asia/Kolkata] PHP Fatal error:  Uncaught Exception: Problem preparing query (select distinct Process,cm_id from new_client_master;) MySQL server has gone away in /var/www/html/erpm/AppData/Class/MysqliDb.php:1514
Stack trace:
#0 /var/www/html/erpm/AppData/Class/MysqliDb.php(1127): MysqliDb->_prepareQuery()
#1 /var/www/html/erpm/AppData/Class/MysqliDb.php(495): MysqliDb->_buildQuery()
#2 /var/www/html/erpm/View/AppraisalReport.php(281): MysqliDb->query()
#3 {main}
  thrown in /var/www/html/erpm/AppData/Class/MysqliDb.php on line 1514
[29-Dec-2022 09:44:08 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[29-Dec-2022 09:44:09 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
